species_id,common_name,taxonomic_name,method,biome,biome_dom_perc,presences,absences,perc_pres
10,"Albatross, Atlantic Yellow-nosed",Thalassarche chlororhynchos,perc_pres,Albany Thicket,100,1,3718,0.0268889486421081
102,"Pochard, Southern",Netta erythrophthalma,perc_pres,Grassland,55,6073,59293,9.29076278187437
103,"Duck, Maccoa",Oxyura maccoa,perc_pres,Grassland,53,1966,63400,3.00767983355261
107,"Vulture, White-backed",Gyps africanus,perc_pres,Savanna,76,14054,63445,18.1344275410005
108,"Vulture, Lappet-faced",Torgos tracheliotos,perc_pres,Savanna,77,2899,74600,3.7406934283023
109,"Vulture, White-headed",Trigonoceps occipitalis,perc_pres,Savanna,93,1678,75821,2.16518922824811
110,"Vulture, Hooded",Necrosyrtes monachus,perc_pres,Savanna,94,3245,74254,4.18715080194583
111,"Vulture, Egyptian",Neophron percnopterus,perc_pres,Savanna,100,2,77497,0.00258067846036723
115,"Hobby, Eurasian",Falco subbuteo,perc_pres,Savanna,61,786,76713,1.01420663492432
119,"Falcon, Amur",Falco amurensis,perc_pres,Grassland,53,8595,56771,13.1490377260349
121,"Kestrel, Dickinson's",Falco dickinsoni,perc_pres,Savanna,66,77,77422,0.0993561207241384
128,"Kite, Black",Milvus migrans,perc_pres,Savanna,53,267,77232,0.344520574459025
13,"Petrel, Southern Giant",Macronectes giganteus,perc_pres,Fynbos,64,41,30500,0.134245767984021
131,"Hawk, Bat",Macheiramphus alcinus,perc_pres,Savanna,64,164,77335,0.211615633750113
134,"Eagle, Tawny",Aquila rapax,perc_pres,Savanna,73,5599,71900,7.22460934979806
135,"Eagle, Steppe",Aquila nipalensis,perc_pres,Savanna,87,382,77117,0.492909585930141
136,"Eagle, Lesser Spotted",Clanga pomarina,perc_pres,Savanna,85,1099,76400,1.41808281397179
137,"Eagle, Wahlberg's",Hieraaetus wahlbergi,perc_pres,Savanna,71,8800,68699,11.3549852256158
140,"Hawk-Eagle, Ayre's",Hieraaetus ayresii,perc_pres,Savanna,54,120,77379,0.154840707622034
141,"Hawk-eagle, African",Aquila spilogaster,perc_pres,Savanna,86,3940,73559,5.08393656692344
144,"Buzzard, Lizard",Kaupifalco monogrammicus,perc_pres,Savanna,82,2463,75036,3.17810552394224
145,"Eagle, Brown Snake",Circaetus cinereus,perc_pres,Savanna,66,7135,70364,9.2065704073601
146,"Eagle, Black-chested Snake",Circaetus pectoralis,perc_pres,Savanna,57,5201,72298,6.71105433618498
150,"Vulture, Bearded",Gypaetus barbatus,perc_pres,Grassland,100,793,64573,1.21316892574121
151,-,Terathopius ecaudatus,perc_pres,Savanna,83,12139,65360,15.6634279151989
157,"Sparrowhawk, Ovambo",Accipiter ovampensis,perc_pres,Savanna,55,811,76688,1.04646511567891
158,"Sparrowhawk, Little",Accipiter minullus,perc_pres,Savanna,55,3318,74181,4.28134556574923
16,"Petrel, Great-winged",Pterodroma macroptera,perc_pres,Fynbos,55,9,30532,0.0294685832160047
161,-,Accipiter badius,perc_pres,Savanna,83,1547,75952,1.99615478909405
162,"Goshawk, Gabar",Micronisus gabar,perc_pres,Savanna,64,5529,71970,7.13428560368521
163,"Goshawk, Dark Chanting",Melierax metabates,perc_pres,Savanna,93,1888,75611,2.43616046658667
173,"Francolin, Coqui",Peliperdix coqui,perc_pres,Savanna,66,4025,73474,5.19361540148905
174,"Francolin, Crested",Dendroperdix sephaena,perc_pres,Savanna,86,29123,48376,37.5785494006374
178,"Francolin, Red-winged",Scleroptila levaillantii,perc_pres,Grassland,65,2041,63325,3.12241838264541
179,"Francolin, Orange River",Scleroptila gutturalis,perc_pres,Grassland,64,5241,60125,8.0179298106049
181,"Spurfowl, Cape",Pternistis capensis,perc_pres,Fynbos,53,17036,13506,55.7789273786916
182,"Spurfowl, Red-billed",Pternistis adspersus,perc_pres,Savanna,80,413,77086,0.532910102065833
183,"Spurfowl, Natal",Pternistis natalensis,perc_pres,Savanna,58,30932,46567,39.9127730680396
19,"Petrel, Soft-plumaged",Pterodroma mollis,perc_pres,Fynbos,60,4,30537,0.0130971480960021
190,"Quail, Harlequin",Coturnix delegorguei,perc_pres,Savanna,82,958,76541,1.2361449825159
193,"Guineafowl, Crested",Guttera pucherani,perc_pres,Savanna,58,1840,75659,2.37422418353785
196,"Buttonquail, Common",Turnix sylvaticus,perc_pres,Savanna,64,2033,75466,2.62325965496329
200,"Crake, Striped",Aenigmatolimnas marginalis,perc_pres,Savanna,67,36,77463,0.0464522122866102
204,"Flufftail, White-winged",Sarothrura ayresi,perc_pres,Grassland,100,18,65348,0.0275372517822721
209,"Gallinule, Allen's",Porphyrio alleni,perc_pres,Savanna,56,230,77269,0.296778022942231
211,"Moorhen, Lesser",Paragallinula angulata,perc_pres,Savanna,65,728,76771,0.939366959573672
214,"Crane, Grey Crowned",Balearica regulorum,perc_pres,Grassland,72,5399,59967,8.2596456873604
215,"Crane, Wattled",Grus carunculata,perc_pres,Grassland,89,820,64546,1.25447480341462
22,"Prion, Antarctic",Pachyptila desolata,perc_pres,Fynbos,88,13,30528,0.0425657313120068
220,"Korhaan, Karoo",Eupodotis vigorsii,perc_pres,Nama-Karoo,52,2927,4092,41.7010970223679
222,"Bustard, White-bellied",Eupodotis senegalensis,perc_pres,Grassland,61,644,64722,0.985221674876847
223,"Korhaan, Blue",Eupodotis caerulescens,perc_pres,Grassland,77,3741,61625,5.72315882874889
224,"Korhaan, Red-crested",Lophotis ruficrista,perc_pres,Savanna,88,13139,64360,16.9537671453825
227,"Bustard, Black-bellied",Lissotis melanogaster,perc_pres,Savanna,61,1327,76172,1.71228015845366
228,"Jacana, African",Actophilornis africanus,perc_pres,Savanna,53,12140,65359,15.6647182544291
230,"Painted-snipe, Greater",Rostratula benghalensis,perc_pres,Savanna,54,789,76710,1.01807765261487
